title,content,status,posttype,thumbnail,proposedtype,sources,coords,proposeddate,,,,
Douglas Channel Energy,"A barge-based liquefaction plant to convert natural gas to LNG; a small LNG buffer tank, electrical substation, and other support facilities on land adjacent to the LNG barge; a new LNG jetty and berth with loading facilities.",Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,53.96328|-128.704598,,,,,
Eagle Creek,Water power project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,52.719|-119.489,,,,,
EB Pit Coal Mine,Coal expansion mine. Mine expansion of the Wolverine Mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,55.107194|-121.394573,,,,,
Elizabeth / Blackdome,"Gold mine and restart of mill, 200 tpd",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,51.03333|-122.53333,,,,,
Endako Expansion,Expansion of existing open pit mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,54.01|-125,,,,,
Fording River- Swift Ridge Expansion,Open pit coal mine development. Expansion at the Fording River Operations.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,50.18789|-114.904289,,,,,
Fording River- Turnbull Expansion,Coal mine pit development.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,50.219986|-114.839286,,,,,
Forest Kerr Hydro Project,195 mw run-of-river electricity generation project on Iskut River.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,56.895|-130.271,,,,,
Fort St James Green Energy,36 mw power plant utilizing wood residue.,Published,proposed-project,,Other,BC Government | http://www.for.gov.bc.ca/major_projects/,54.49317|-124.21555,,,,,
Frosst Creek,4 mw Hydroelectric power power,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.0095|-122.0249,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,49.975955|-122.77771,,,,,
Gething Coal Mine,Underground coal mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,55.9975|-122.317167,,,,,
Giscome Limestone Quarry,Limestone quarry,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,54.052778|-122.286111,,,,,
GMS Bennett Dam Rip-Rap,New Quarry  to address safety concerns by repairing the dam with new Rip Rap ,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,56.109077|-122.560139,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,51.5702|-127.5061,,,,,
Grassy Point LNG,LNG export facility planned for Grassy Point (South Side),Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.5861|-130.404,,,,,
Gravell Creek,"7.5 MW
Hydro Power Project",Published,proposed-project,,Dam,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,50.2913|-122.695,,,,,
Greenhills (Cougar Pit Extension) ,Open pit coal mine development.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,50.154796|-114.902744,,,,,
Groundhog (Bulk Sample),"Underground coal mine, 2-3 Mill tonnes/year",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,56.867|-128.267,,,,,
Haa-ak-suuk Creek,6 MW water power project,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,49.267356|-125.380783,,,,,
Harper Creek,Copper and gold mine development.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,51.58518|-119.78119,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,49.328702|-121.959229,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,52.4706|-120.9887,,,,,
Highland Valley Copper Bethlehem Extension,Re-activated plan to extend the mine life to approximately Sep 2023.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,50.56656|-121.20855,,,,,
Hunter Creek,Proposed 10 mw Hydro project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.3262|-121.5569,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,50.120578|-120.815964,,,,,
Isle Pierre,100 MW windpower project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,53.9127|-123.4038,,,,,
John Hart Dam,Replace wood stave/steel penstocks and 126 MW generating station with new tunnel and powerhouse,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.0436|-125.3156,,,,,
,,,,,,BC Government | http://www.for.gov.bc.ca/major_projects/,48.39365|-123.282394,,,,,
Kemess Underground,Gold/copper/silver underground mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,57.05535|-126.74825,,,,,
Kitimat LNG Terminal,Natural gas liquefaction and marine loading/shipping - export capacity phase 1 = 5 mmtpa,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,53.925537|-128.752682,,,,,
Kitsault Energy Project,LNG facility,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,55.4667|-129.4833,,,,,
Kitsault River / Homestake Creek,14 mw hydroelectric project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,55.738|-129.553,,,,,
Kokish River Hydroelectric Project,45 mw run of river project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.49006|-126.856728,,,,,
Kootenay West ,open pit Gypsum Mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,50.2194|-115.20889,,,,,
KSM (Kerr-Sulpherets-Mitchell) Project,"120,000 tpd gold/copper/silver open pit mine.",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,56.612|-130.289,,,,,
Line Creek Operations Phase 2,Coal mine pit development.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,49.982027|-114.768162,,,,,
LNG Canada Export Terminal,Natural gas liquefaction and marine loading/shipping - export capacity up to 12 mmtpa -Phase 1,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.001|-128.688,,,,,
Lorenzetta,Proposed 3 mw hydropower project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.3193|-121.5944,,,,,
McKelvie Creek,5.2 MW water power project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.928682|-126.635284,,,,,
McLymont Creek Hydro Project,66 mw run-of-river project on tributary to Iskut River.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,56.718|-131.0119,,,,,
Meikle Wind Energy Project,187 MW wind power project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,55.264445|-121.386111,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,50.199611|-120.7738138,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,50.088098|-120.747128,,,,,
"Middle Creek, East",Small hydroelectric project. 8 mw,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,54|-130,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,50.0872|-125.3072,,,,,
